id,name,district
1822,Chingmei,249
5385,Chinnagottigallu,752
4460,Chinnakodur,692
6287,Chinnambavi,693
6314,Chintalamanepally,699
4760,Chinthakani,509
5231,Chinthakommadinne,504
488,Chirawa,106
6046,Chitalwana,779
2664,Chitarpur,607
6799,Chitragam,625
3703,Chitrangi,638
5650,Chittur,563
1731,Chongkham Eac,678
3938,Chorasi,459
2954,Choudwar,350
5987,Chunlikha,757
3698,Churhat,433
5897,Coimbatore North,569
5898,Coimbatore South,569
3007,Colliery,344
2184,Cooch Behar - II,308
5789,Cuddalore,570
3284,Dabhra,762
3400,Dabra,407
389,Dabwali,74
6918,Dadasiba,18
402,Dadri,701
5166,Dagadarthi,515
3948,Daman,463
4553,Damargidda,721
1725,Dambuk Adc,235
4663,Dameracherla,514
6999,Damyanti Nagar,400
7110,Dangtal Revenue Circle,281
6712,Dansal,5
3369,Dantewada,376
1628,Darak Circle,243
3366,Darbha,374
6901,Dareeni,18
21,Darhal,12
1264,Dariapur,218
3125,Daringbadi,359
1637,Daring Circle,724
1902,Darlawn,261
4011,Daryapur,468
2450,Daspur - II,318
6207,Dasturabad,680
783,Dataganj,133
3405,Datia,401
4823,Dattirajeru,521
1476,Daudnagar,189
7251,Daura-Kochali,649
536,Dausa,97
2800,Debagarh,351
2462,Debra,318
3911,Dediapada,452
563,Degana,110
6958,Deha,23
1473,Dehri,215
3056,Delanga,369
452,Delhi Cantonment,79
4967,Denduluru,748
3985,Deolgaon Raja,472
2084,Dergaon,288
4052,Desaiganj (Vadasa),475
1281,Desri,224
3778,Detroj-Rampura,438
5831,Devakottai,585
3316,Dhamdha,378
3734,Dhanera,441
2343,Dhaniakhali,312
7320,Dhanora,643
3079,Dharakote,354
5996,Dharamkot,38
3968,Dharangaon,478
3845,Dhari,439
696,Dhariawad,629
200,Dhar Kalan,662
4104,Dharmabad,485
4001,Dharni,468
2807,Dharuadihi,373
6463,Dharuhera St,72
4531,Dharur,698
4223,Dharur,470
2055,Dhemaji,284
2999,Dhenkanal Sadar,352
6387,Dhod,114
6167,Dholera,438
6050,Dhorimanna,90
61,D H Pora,622
3789,Dhrangadhra,460
3816,Dhrol,447
7402,Dhulcot,397
1348,Dhuraiya,190
2427,Diamond Harbour - II,304
558,Didwana,768
3096,Digapahandi,354
3947,Diu,464
2039,Doboka,709
5602,Dodda Ballapur,526
193,Dodra Kwar,23
6200,Dolvan,641
2235,Domkal,319
3304,Dongargarh,388
5100,Dornala,517
6786,Drugmulla,8
2266,Dubrajpur,307
2610,Dumaria,327
4843,Dumbriguda,745
1440,Dumraon,194
2543,Dumri,329
1061,Dumri Katsari,220
6910,Duni,116
5042,Durgi,751
4955,Dwarakatirumala,748
5738,Edappadi,584
2491,Egra - I,317
6234,Ellandakunta,508
2938,Ersama,355
4685,Eturunagaram,720
425,Faridabad,60
418,Farrukhnagar,62
221,Fatehgarh Sahib,30
551,Fatehpur,114
95,Fatehpur,18
2680,Fatehpur,333
3890,Fatepura,445
350,Gadarpur,56
7273,Gadiras,642
3068,Gadisagada,369
5281,Gadivemula,755
1209,Gaighat,208
2759,Gaisilet,347
7082,Gajendragad,537
379,Ganaur,75
3775,Gandhinagar,446
2991,Gandia,352
5342,Gandlapenta,754
5420,Gangadhara Nellore,503
526,Gangapur,771
319,Gangolihat,53
1710,Gangte Circle,677
4797,Ganguvarisigadam,519
3086,Ganjam,354
5012,Gannavaram,510
6232,Ganneruvaram,508
6611,Ganoda,88
1306,Garhpura,191
2638,Garu,335
324,Garud,46
4811,Garugubilli,743
1015,Gaunaha,211
5595,Gauribidanur,630
3424,Gaurihar,398
7115,Gauripur,285
743,Gautam Buddha Nagar,144
6721,Ghagwal,624
6888,Ghanari,26
943,Ghanghata,178
1194,Ghanshyampur,195
7221,Ghantiyali,772
3855,Ghogha,443
3644,Ghughari,415
4848,G.Madugula,745
5751,Gobichettipalayam,573
7259,Gobra Nawapara,387
1738,Goiliang Circle,628
5436,Gokak,527
2665,Gola,607
6015,Golakganj Pt,285
2606,Golmuri-Cum-Jugsalai,327
4853,Golugonda,744
928,Gonda,147
5270,Gonegandla,511
3062,Gop,369
6838,Gopalapatnam,520
1224,Gopalganj,197
4596,Gopalpeta,693
1196,Gora Bauram,195
1272,Goraul,224
4045,Goregaon,476
1232,Goriakothi,222
6471,Goriwala St,74
2435,Gosaba,304
581,Gudha Malani,90
4310,Gudihatnoor,501
5712,Gudiyatham,595
5426,Gudupalle,503
3578,Gulabganj,437
5319,Gummagatta,502
5693,Gummidipoondi,589
6602,Gumto Circle,237
3677,Guna,406
3319,Gunderdehi,646
6749,Gundna,4
3438,Gunnor,420
417,Gurgaon,62
5370,Gurramkonda,753
2952,Gurudijhatia,350
2828,Gurundia,373
3323,Gurur,646
1241,Guthani,222
1165,Gwalpara,205
998,Gyanpur,179
2616,Haidernagar,338
5480,Haliyal,550
7378,Handa,93
3609,Handiya,408
468,Hanumangarh,101
5510,Harapanahalli,738
7271,Hardibazar,383
354,Hardwar,50
5509,Harihar,535
6953,Haripurdhar,24
2209,Harischandrapur - II,316
1043,Harsidhi,213
4678,Hasanparthy,686
1302,Hasanpur,217
731,Hasanpur,154
5556,Hassan,539
2738,Hat Gamharia,343
428,Hathin,619
4489,Hathnoora,691
4285,Hatkanangle,480
454,Hauz Khas,83
16,Haveli,10
4525,Hayathnagar,518
2203,Hilli,310
5364,Hindupur,754
2038,Hojai,709
5498,Hosapete,738
5631,Hosdurg,558
3614,Hoshangabad,409
216,Hoshiarpur,33
7079,Hubballi Urban,536
5437,Hukeri,527
4846,Hukumpeta,745
1541,Hulasganj,199
7086,Hulsoor,529
3479,Huzur,424
3581,Huzur,396
7041,Huzur Nagar,424
4393,Ibrahimpatnam,681
3586,Ichhawar,427
4153,Igatpuri,487
756,Iglas,119
5818,Iluppur,582
1501,Imamganj,196
